,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4298,ROOFTOP,179 ATWELLS AVE,"179 Atwells Ave, Providence, RI 02903, USA",ChIJz-jzfQtF5IkRhy2c0ipv5t8,179 ATWELLS AVE,41.8236231,-71.4239623,1,02903,OK,street_address
4299,ROOFTOP,400 ADMIRAL ST,"400 Admiral St, Providence, RI 02908, USA",ChIJdRRFWv9E5IkRT9C6yFozPe8,400 ADMIRAL ST,41.8458322,-71.42945499999999,1,02908,OK,premise
4300,ROOFTOP,400 ADMIRAL ST,"400 Admiral St, Providence, RI 02908, USA",ChIJdRRFWv9E5IkRT9C6yFozPe8,400 ADMIRAL ST,41.8458322,-71.42945499999999,1,02908,OK,premise
4301,ROOFTOP,416 ADMIRAL ST,"416 Admiral St, Providence, RI 02908, USA",ChIJ8V0W-lVE5IkRGpv9oMHh2VU,416 ADMIRAL ST,41.8461359,-71.43035379999999,1,02908,OK,premise
4302,ROOFTOP,416 ADMIRAL ST,"416 Admiral St, Providence, RI 02908, USA",ChIJ8V0W-lVE5IkRGpv9oMHh2VU,416 ADMIRAL ST,41.8461359,-71.43035379999999,1,02908,OK,premise
4303,ROOFTOP,400 ADMIRAL ST,"400 Admiral St, Providence, RI 02908, USA",ChIJdRRFWv9E5IkRT9C6yFozPe8,400 ADMIRAL ST,41.8458322,-71.42945499999999,1,02908,OK,premise
4304,ROOFTOP,51 SILVER SPRING ST,"51 Silver Spring St, Providence, RI 02904, USA",ChIJd5Blr-RE5IkR3o8xZAbC5E4,51 SILVER SPRING ST,41.844888,-71.4167222,2,02904,OK,street_address
4305,GEOMETRIC_CENTER,PINEHURST AVE & CHAD BROWN ST,"Pinehurst Ave, New York, NY 10033, USA",ChIJ8w9oIaH2wokRkSN7zh84Lq8,PINEHURST AVE & CHAD BROWN ST,40.8515263,-73.9391059,1,10033,OK,route
4306,ROOFTOP,400 ADMIRAL ST,"400 Admiral St, Providence, RI 02908, USA",ChIJdRRFWv9E5IkRT9C6yFozPe8,400 ADMIRAL ST,41.8458322,-71.42945499999999,1,02908,OK,premise
4307,ROOFTOP,475 SMITH ST,"475 Smith St, Providence, RI 02908, USA",ChIJ3_0P2gZF5IkR7gn_fGiIeyw,475 SMITH ST,41.8357969,-71.4265458,4,02908,OK,premise
