,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4421,ROOFTOP,627 CRANSTON ST,"627 Cranston St, Providence, RI 02907, USA",ChIJ4ewBKodF5IkRDUgCWP3WV18,627 CRANSTON ST,41.806826,-71.436239,1,02907,OK,street_address
4422,ROOFTOP,939 DOUGLAS AVE,"939 Douglas Ave, Portsmouth, VA 23707, USA",ChIJoYP3-XKiuokRCVW3ibfrTX8,939 DOUGLAS AVE,36.8378771,-76.3379726,1,23707,OK,premise
4423,ROOFTOP,939 DOUGLAS AVE,"939 Douglas Ave, Portsmouth, VA 23707, USA",ChIJoYP3-XKiuokRCVW3ibfrTX8,939 DOUGLAS AVE,36.8378771,-76.3379726,1,23707,OK,premise
4424,ROOFTOP,47 EAGLE ST,"47 Eagle St, Providence, RI 02909, USA",ChIJ6_mvLaJF5IkRHkcjk592_mM,47 EAGLE ST,41.8259146,-71.4364671,1,02909,OK,premise
4425,ROOFTOP,850 MANTON AVE,"850 Manton Ave, Providence, RI 02909, USA",ChIJKQFxq9xF5IkRkXDRcONIVZA,850 MANTON AVE,41.8328614,-71.4665952,1,02909,OK,street_address
4426,ROOFTOP,BRADLEY ST & ZELLA ST,"152 Bradley St, Saco, ME 04072, USA",ChIJiwjgsfKkskwRJlgpA9RtQKM,BRADLEY ST & ZELLA ST,43.505993,-70.4561342,1,04072,OK,"establishment,food,point_of_interest,store"
4427,ROOFTOP,51 WEALTH AVE,"51 Commonwealth Avenue, Boston, MA 02116, USA",ChIJvzUpAwt644kRiqRsaoPr3GA,51 WEALTH AVE,42.353102,-71.075447,1,02116,OK,"establishment,point_of_interest"
4428,ROOFTOP,51 WEALTH AVE,"51 Commonwealth Avenue, Boston, MA 02116, USA",ChIJvzUpAwt644kRiqRsaoPr3GA,51 WEALTH AVE,42.353102,-71.075447,1,02116,OK,"establishment,point_of_interest"
4429,ROOFTOP,27 MIDDLE DR,"27 Middle Dr, Huntington, NY 11743, USA",ChIJb4VYWLQo6IkRY2TjFz9595w,27 MIDDLE DR,40.8476525,-73.373932,1,11743,OK,premise
4430,ROOFTOP,579 ATWELLS AVE,"579 Atwells Ave, Providence, RI 02909, USA",ChIJM4F_GaJF5IkRFtuK87j_eSM,579 ATWELLS AVE,41.82461240000001,-71.4363784,1,02909,OK,premise
4431,ROOFTOP,67 SALMON ST,"67 Salmon St, Greenbank, WA 98253, USA",ChIJu-PitRTwj1QRn-qhCcCLJCE,67 SALMON ST,48.07219990000001,-122.6119135,2,98253,OK,street_address
4432,ROOFTOP,982 BRANCH AVE,"982 Branch Ave, Providence, RI 02904, USA",ChIJZ61hVlpE5IkRO6mniGKzR5c,982 BRANCH AVE,41.8549584,-71.4387026,1,02904,OK,premise
4433,ROOFTOP,29 HEREFORD ST,"29 Hereford St, Boston, MA 02115, USA",ChIJNUIvmQV644kRCc-G2r5U9Mo,29 HEREFORD ST,42.350385,-71.086704,2,02115,OK,street_address
4434,ROOFTOP,641 ADMIRAL ST,"641 Admiral St, Providence, RI 02908, USA",ChIJRcoXbFFE5IkRqlXZQkSMDPs,641 ADMIRAL ST,41.8489083,-71.4378119,1,02908,OK,street_address
4435,ROOFTOP,579 ATWELLS AVE,"579 Atwells Ave, Providence, RI 02909, USA",ChIJM4F_GaJF5IkRFtuK87j_eSM,579 ATWELLS AVE,41.82461240000001,-71.4363784,1,02909,OK,premise
4436,ROOFTOP,25 AMITY ST,"25 Amity St, Lynn, MA 01902, USA",ChIJ19uuLu9s44kR2_dFC9dlvls,25 AMITY ST,42.4598992,-70.94021390000002,2,01902,OK,premise
4437,ROOFTOP,25 AMITY ST,"25 Amity St, Lynn, MA 01902, USA",ChIJ19uuLu9s44kR2_dFC9dlvls,25 AMITY ST,42.4598992,-70.94021390000002,2,01902,OK,premise
4438,ROOFTOP,25 AMITY ST,"25 Amity St, Lynn, MA 01902, USA",ChIJ19uuLu9s44kR2_dFC9dlvls,25 AMITY ST,42.4598992,-70.94021390000002,2,01902,OK,premise
4439,ROOFTOP,25 AMITY ST,"25 Amity St, Lynn, MA 01902, USA",ChIJ19uuLu9s44kR2_dFC9dlvls,25 AMITY ST,42.4598992,-70.94021390000002,2,01902,OK,premise
4440,ROOFTOP,25 AMITY ST,"25 Amity St, Lynn, MA 01902, USA",ChIJ19uuLu9s44kR2_dFC9dlvls,25 AMITY ST,42.4598992,-70.94021390000002,2,01902,OK,premise
4441,ROOFTOP,17 HEALTH AVE,"17 Health Ave, Springfield, MA 01119, USA",ChIJa4r3AqXC5okRWwZOhsTWod4,17 HEALTH AVE,42.1388379,-72.5058086,2,01119,OK,premise
4442,ROOFTOP,17 HEALTH AVE,"17 Health Ave, Springfield, MA 01119, USA",ChIJa4r3AqXC5okRWwZOhsTWod4,17 HEALTH AVE,42.1388379,-72.5058086,2,01119,OK,premise
4443,ROOFTOP,17 HEALTH AVE,"17 Health Ave, Springfield, MA 01119, USA",ChIJa4r3AqXC5okRWwZOhsTWod4,17 HEALTH AVE,42.1388379,-72.5058086,2,01119,OK,premise
4444,ROOFTOP,44 GRAPE ST,"44 Grape St, Providence, RI 02908, USA",ChIJndzC81VE5IkRYZr4msmXanA,44 GRAPE ST,41.8457535,-71.4304234,1,02908,OK,premise
4445,ROOFTOP,744 BRANCH AVE,"744 Branch Ave, Providence, RI 02904, USA",ChIJ3W1cf1hE5IkRLEuBeiSm05U,744 BRANCH AVE,41.85361530000001,-71.43002899999999,1,02904,OK,premise
4446,ROOFTOP,134 STANSBURY ST,"134 Stansbury St, Providence, RI 02908, USA",ChIJZfKpdVhE5IkREZgb-PLPNTM,134 STANSBURY ST,41.852813,-71.43009599999999,1,02908,OK,street_address
4447,ROOFTOP,289 CHAD BROWN ST,"289 Chad Brown St, Providence, RI 02908, USA",ChIJu1CGjf1E5IkRiK2zizzaU48,289 CHAD BROWN ST,41.8409713,-71.42208769999999,1,02908,OK,premise
4448,ROOFTOP,685 ADMIRAL ST,"685 Admiral St, Providence, RI 02908, USA",ChIJAdIzolFE5IkRMKFvztfNrnw,685 ADMIRAL ST,41.8494984,-71.4392592,1,02908,OK,premise
4449,ROOFTOP,685 ADMIRAL ST,"685 Admiral St, Providence, RI 02908, USA",ChIJAdIzolFE5IkRMKFvztfNrnw,685 ADMIRAL ST,41.8494984,-71.4392592,1,02908,OK,premise
4450,ROOFTOP,685 ADMIRAL ST,"685 Admiral St, Providence, RI 02908, USA",ChIJAdIzolFE5IkRMKFvztfNrnw,685 ADMIRAL ST,41.8494984,-71.4392592,1,02908,OK,premise
4451,GEOMETRIC_CENTER,DOUGLAS AVE/CORINNA ST,"Corinna St, Canberra ACT 2606, Australia",ChIJH4LOyLy0F2sRA5oBseERvYQ,DOUGLAS AVE/CORINNA ST,-35.3459579,149.0841907,1,2606,OK,route
4452,GEOMETRIC_CENTER,SHILOH ST/ HYACINTH ST,"Shiloh St & Hyacinth St, Providence, RI 02904, USA",EjJTaGlsb2ggU3QgJiBIeWFjaW50aCBTdCwgUHJvdmlkZW5jZSwgUkkgMDI5MDQsIFVTQSJmImQKFAoSCY0MMM5ZROSJEVBWdAwvOeV3EhQKEgmNDDDOWUTkiRFQVnQMLznldxoUChIJ5_cRYVdE5IkR33hw6Fk_8MYaFAoSCWuBZMlZROSJEQ_aE68HmWzsIgoNOjXyGBU1IGzV,SHILOH ST/ HYACINTH ST,41.8526522,-71.4334155,1,02904,OK,intersection
4453,GEOMETRIC_CENTER,SHILOH ST/ HYACINTH ST,"Shiloh St & Hyacinth St, Providence, RI 02904, USA",EjJTaGlsb2ggU3QgJiBIeWFjaW50aCBTdCwgUHJvdmlkZW5jZSwgUkkgMDI5MDQsIFVTQSJmImQKFAoSCY0MMM5ZROSJEVBWdAwvOeV3EhQKEgmNDDDOWUTkiRFQVnQMLznldxoUChIJ5_cRYVdE5IkR33hw6Fk_8MYaFAoSCWuBZMlZROSJEQ_aE68HmWzsIgoNOjXyGBU1IGzV,SHILOH ST/ HYACINTH ST,41.8526522,-71.4334155,1,02904,OK,intersection
4454,RANGE_INTERPOLATED,105 VEAZIE ST,"105 Veazie St, Providence, RI 02908, USA",EigxMDUgVmVhemllIFN0LCBQcm92aWRlbmNlLCBSSSAwMjkwOCwgVVNBIhoSGAoUChIJH6wbblZE5IkR0aGuI9UlrpwQaQ,105 VEAZIE ST,41.84805799999999,-71.4328278,2,02908,OK,street_address
4455,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4456,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4457,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4458,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4459,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4460,ROOFTOP,914 DOUGLAS AVE,"914 Douglas Ave, Des Moines, IA 50313, USA",ChIJjdjOyNCb7ocR0D2m-7UBGbE,914 DOUGLAS AVE,41.6293275,-93.6303495,1,50313,OK,premise
4461,GEOMETRIC_CENTER,CHAD BROWN ST & JUNE ST,"Chad Brown St, Providence, RI 02908, USA",ChIJwzBcNABF5IkRPFU34HXwxLU,CHAD BROWN ST & JUNE ST,41.8392775,-71.42582689999999,1,02908,OK,route
4462,ROOFTOP,DOUGLAS/FILLMORE,"1055 N 500 W #121, Provo, UT 84604, USA",ChIJWzhyHwqaTYcR0_6SD67zI8Q,DOUGLAS/FILLMORE,40.2493701,-111.667734,1,84604,OK,"doctor,establishment,health,point_of_interest"
4463,,67 WINCHESTER ST,,,67 WINCHESTER ST,,,0,,ZERO_RESULTS,
4464,ROOFTOP,51 SILVER SPRING ST,"51 Silver Spring St, Providence, RI 02904, USA",ChIJd5Blr-RE5IkR3o8xZAbC5E4,51 SILVER SPRING ST,41.844888,-71.4167222,2,02904,OK,street_address
4465,RANGE_INTERPOLATED,138 SUFFOLK ST,"138 Suffolk St, New York, NY 10002, USA",EicxMzggU3VmZm9sayBTdCwgTmV3IFlvcmssIE5ZIDEwMDAyLCBVU0EiGxIZChQKEgm10rGegVnCiRH_nZuxGwquMhCKAQ,138 SUFFOLK ST,40.7198005,-73.9854044,2,10002,OK,street_address
4466,RANGE_INTERPOLATED,138 SUFFOLK ST,"138 Suffolk St, New York, NY 10002, USA",EicxMzggU3VmZm9sayBTdCwgTmV3IFlvcmssIE5ZIDEwMDAyLCBVU0EiGxIZChQKEgm10rGegVnCiRH_nZuxGwquMhCKAQ,138 SUFFOLK ST,40.7198005,-73.9854044,2,10002,OK,street_address
4467,ROOFTOP,51 SILVER SPRING ST,"51 Silver Spring St, Providence, RI 02904, USA",ChIJd5Blr-RE5IkR3o8xZAbC5E4,51 SILVER SPRING ST,41.844888,-71.4167222,2,02904,OK,street_address
4468,ROOFTOP,244 SMITH ST,"244 Smith St, Brooklyn, NY 11231, USA",ChIJm0U3wlBawokRzfGtxMSwLKE,244 SMITH ST,40.6834492,-73.9928511,2,11231,OK,premise
4469,ROOFTOP,PEMBROKE/EATON,"108 Main St, Pembroke SA71 4HN, UK",ChIJ_-TbNdcwaUgR20yInKHRGvI,PEMBROKE/EATON,51.6745838,-4.910588,1,SA71 4HN,OK,"establishment,lodging,point_of_interest"
4470,ROOFTOP,427 PUBLIC ST,"427 Public St, Providence, RI 02907, USA",ChIJ4_mAfGNF5IkRmN0BUNydVg4,427 PUBLIC ST,41.8055294,-71.4156734,1,02907,OK,premise
4471,ROOFTOP,615 CHARLES ST,"615 Charles St, Chittenango, NY 13037, USA",ChIJc_brVkKF2YkRxhENCQaJKcg,615 CHARLES ST,43.0496185,-75.8851877,2,13037,OK,premise
4472,ROOFTOP,615 CHARLES ST,"615 Charles St, Chittenango, NY 13037, USA",ChIJc_brVkKF2YkRxhENCQaJKcg,615 CHARLES ST,43.0496185,-75.8851877,2,13037,OK,premise
4473,ROOFTOP,526 BRANCH AVE,"526 Willow Branch Ave, Jacksonville, FL 32254, USA",ChIJBUdVYMW55YgRbq0lfkOODvU,526 BRANCH AVE,30.322285,-81.70364099999999,2,32254,OK,street_address
4474,ROOFTOP,526 BRANCH AVE,"526 Willow Branch Ave, Jacksonville, FL 32254, USA",ChIJBUdVYMW55YgRbq0lfkOODvU,526 BRANCH AVE,30.322285,-81.70364099999999,2,32254,OK,street_address
4475,ROOFTOP,51 SILVER SPRING ST,"51 Silver Spring St, Providence, RI 02904, USA",ChIJd5Blr-RE5IkR3o8xZAbC5E4,51 SILVER SPRING ST,41.844888,-71.4167222,2,02904,OK,street_address
4476,ROOFTOP,333 W  RIVER ST,"333 W River St, Providence, RI 02904, USA",ChIJUR5fneZE5IkRkj6Mzauhkog,333 W  RIVER ST,41.8452736,-71.4119394,2,02904,OK,premise
4477,ROOFTOP,45 GREELEY ST,"45 Greeley St, Pittsburgh, PA 15203, USA",ChIJFRxYvHLxNIgRNHNRL5DsqQw,45 GREELEY ST,40.4229551,-79.97431449999999,3,15203,OK,premise
